1;Mario MATT;AUT;46.7;55.14;101.84
2;Marcel HIRSCHER;AUT;47.98;54.14;102.12
3;Henrik KRISTOFFERSEN;NOR;48.49;54.18;102.67
4;Stefano GROSS;ITA;47.45;55.27;102.72
4;Fritz DOPFER;GER;48.46;54.26;102.72
6;Adam ZAMPA;SVK;49.34;53.94;103.28
7;Mattias HARGIN;SWE;47.45;56.15;103.60
7;Markus LARSSON;SWE;48.04;55.56;103.60
9;Sebastian-Foss SOLEVAAG;NOR;49.08;55.03;104.11
9;Ivica KOSTELIC;CRO;48.75;55.36;104.11
11;Mitja VALENCIC;SLO;48.32;55.82;104.14
12;Leif Kristian HAUGEN;NOR;48.83;55.38;104.21
13;Nolan KASPER;USA;48.7;55.52;104.22
14;Alexander KHOROSHILOV;RUS;48.71;55.52;104.23
15;Julien LIZEROUX;FRA;48.69;55.63;104.32
16;Michael JANYK;CAN;48.82;55.54;104.36
17;David RYDING;GBR;49.4;56.51;105.91
18;Dalibor SAMSAL;CRO;50.71;58.28;108.99
19;Ramon ZENHAEUSERN;SUI;51.01;58.39;109.40
20;Philip BROWN;CAN;49.97;59.68;109.65
21;Alexandru BARBU;ROU;52.82;59.84;112.66
22;Iason ABRAMASHVILI;GEO;52.59;60.78;113.37
23;Michal JASICZEK;POL;52.88;60.6;113.48
24;Marco PFIFFNER;LIE;53.46;62.02;115.48
25;Adam BARWOOD;NZL;54.21;61.97;116.18
26;Warren Cummings SMITH;EST;55.08;62.2;117.28
27;Martins ONSKULIS;LAT;56.16;61.44;117.60
28;Matej VIDOVIC;CRO;51.74;66.07;117.81
29;Antonio RISTEVSKI;MKD;55.38;63.06;118.44
30;Mohammad KIYADARBANDSARI;IRI;55.09;63.78;118.87
31;Hossein SAVEH SHEMSHAKI;IRI;55.46;63.9;119.36
32;Alex PUENTE TASIAS;ESP;53.73;65.72;119.45
33;Pavel TRIKHICHEV;RUS;51.63;68.16;119.79
34;Arman SEREBRAKIAN;ARM;55.9;64.67;120.57
35;Kostas SYKARAS;GRE;57.83;66.25;124.08
36;Brynjar Jokull GUDMUNDSSON;ISL;56.85;67.72;124.57
37;Massimiliano VALCAREGGI;GRE;58.97;66.75;125.72
38;Tarik HADZIC;MNE;60.95;66.99;127.94
39;Conor LYNE;IRL;63.58;69.71;133.29
40;Evgeniy TIMOFEEV;KGZ;62.47;72.96;135.43
41;Alexandre MOHBAT;LIB;63.77;78.02;141.79
